ACADEMY DINOSAUR	A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies	2006	1	\N	6	0.99	86	20.99	PG	2007-09-10 17:46:03.905795	{"Deleted Scenes","Behind the Scenes"}	'mad':11 'epic':4 'must':14 'battl':15 'drama':5 'rocki':21 'academi':1 'teacher':17 'canadian':20 'dinosaur':2 'feminist':8 'scientist':12
ACE GOLDFINGER	A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China	2006	1	\N	3	4.99	48	12.99	G	2007-09-10 17:46:03.905795	{Trailers,"Deleted Scenes"}	'ace':1 'car':17 'find':15 'must':14 'china':20 'epistl':5 'explor':12 'ancient':19 'astound':4 'databas':8 'goldfing':2 'administr':9
ADAPTATION HOLES	A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory	2006	1	\N	7	2.99	50	18.99	NC-17	2007-09-10 17:46:03.905795	{Trailers,"Deleted Scenes"}	'car':11 'hole':2 'must':13 'sink':14 'adapt':1 'baloon':19 'astound':4 'factori':20 'reflect':5 'lumberjack':8,16
AFFAIR PREJUDICE	A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank	2006	1	\N	5	2.99	117	26.99	G	2007-09-10 17:46:03.905795	{Commentaries,"Behind the Scenes"}	'must':13 'tank':20 'chase':14 'fanci':4 'shark':19 'affair':1 'frisbe':8 'monkey':16 'prejudic':2 'lumberjack':11 'documentari':5
AFRICAN EGG	A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico	2006	1	\N	6	2.99	130	22.99	G	2007-09-10 17:46:03.905795	{"Deleted Scenes"}	'egg':2 'chef':11 'fast':5 'gulf':23 'must':16 'pace':6 'pursu':17 'forens':19 'mexico':25 'pastri':10 'african':1 'dentist':14 'fast-pac':4 'documentari':7 'psychologist':20
AGENT TRUMAN	A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China	2006	1	\N	3	2.99	169	17.99	PG	2007-09-10 17:46:03.905795	{"Deleted Scenes"}	'boy':11 'must':13 'sumo':16 'agent':1 'china':20 'escap':14 'robot':8 'truman':2 'ancient':19 'intrepid':4 'panorama':5 'wrestler':17
AIRPLANE SIERRA	A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat	2006	1	\N	6	4.99	62	28.99	PG-13	2007-09-10 17:46:03.905795	{Trailers,"Deleted Scenes"}	'jet':19 'boat':20 'must':13 'saga':5 'touch':4 'butler':11,16 'discov':14 'hunter':8 'sierra':2 'airplan':1
AIRPORT POLLOCK	A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India	2006	1	\N	6	4.99	54	15.99	R	2007-09-10 17:46:03.905795	{Trailers}	'epic':4 'girl':11 'moos':8 'must':13 'tale':5 'india':19 'monkey':16 'airport':1 'ancient':18 'pollock':2 'confront':14
ALABAMA DEVIL	A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat	2006	1	\N	3	2.99	114	21.99	PG-13	2007-09-10 17:46:03.905795	{Trailers,"Deleted Scenes"}	'jet':22 'mad':12,18 'boat':23 'must':15 'devil':2 'outgun':16 'alabama':1 'databas':8 'thought':4 'panorama':5 'administr':9 'scientist':13,19
ALADDIN CALENDAR	A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China	2006	1	\N	6	4.99	63	24.99	NC-17	2007-09-10 17:46:03.905795	{Trailers,"Deleted Scenes"}	'man':10 'must':15 'pack':6 'tale':7 'china':21 'reach':16 'action':5 'aladdin':1 'ancient':20 'calendar':2 'feminist':18 'lumberjack':13 'action-pack':4
ALAMO VIDEOTAPE	A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention	2006	1	\N	6	0.99	126	16.99	G	2007-09-10 17:46:03.905795	{Commentaries,"Behind the Scenes"}	'cat':11 'bore':4 'chef':17 'must':13 'alamo':1 'fight':14 'mysql':20 'butler':8 'epistl':5 'pastri':16 'convent':21 'videotap':2
ALASKA PHANTOM	A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia	2006	1	\N	6	0.99	136	22.99	PG	2007-09-10 17:46:03.905795	{Commentaries,"Deleted Scenes"}	'boy':17 'chef':12 'must':14 'saga':5 'fanci':4 'alaska':1 'hunter':8 'pastri':11 'phantom':2 'vanquish':15 'australia':19
DATE SPEED	A Touching Saga of a Composer And a Moose who must Discover a Dentist in A MySQL Convention	2006	1	\N	4	0.99	104	19.99	R	2007-09-10 17:46:03.905795	{Commentaries}	'date':1 'moos':11 'must':13 'saga':5 'mysql':19 'speed':2 'touch':4 'compos':8 'discov':14 'convent':20 'dentist':16
ALI FOREVER	A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies	2006	1	\N	4	4.99	150	21.99	PG	2007-09-10 17:46:03.905795	{"Deleted Scenes","Behind the Scenes"}	'ali':1 'must':15 'pack':6 'battl':16 'drama':7 'forev':2 'rocki':22 'action':5 'dentist':10 'canadian':21 'crocodil':13 'feminist':18 'action-pack':4
